iter	Passed	Remaining
0	0	27
1	0	25
2	0	23
3	0	21
4	1	23
5	1	23
6	1	23
7	1	22
8	2	22
9	2	21
10	2	21
11	2	21
12	3	21
13	3	21
14	3	21
15	3	20
16	4	20
17	4	20
18	4	19
19	4	19
20	5	19
21	5	19
22	5	19
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	18
29	7	18
30	8	18
31	8	17
32	8	17
33	8	17
34	9	16
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	13	12
51	13	12
52	13	11
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	19	5
77	19	5
78	19	5
79	19	4
80	20	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
